Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,Order ID,City,State,Postal Code,Region,Product ID,Product Category,Product Type,Product Name,Price,Quantity,Revenue,Discount,Profit
11/11/2014,11/18/2014,Standard Class,PK-19075,Pete Kriz,Consumer,United States,10017,Madison,Wisconsin,53711,Central,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6," $3,995.00 ",0%, $13.32 
5/13/2014,5/15/2014,Second Class,AG-10270,Alejandro Grove,Consumer,United States,10018,West Jordan,Utah,84084,West,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,2, $111.00 ,0%, $9.99 
8/27/2014,9/1/2014,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,10019,San Francisco,California,94109,West,OFF-AR-10003056,Office Supplies,Art,Newell 341,8.56,2, $17.00 ,0%, $2.48 
8/27/2014,9/1/2014,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,10020,San Francisco,California,94109,West,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,213.48,3, $640.00 ,20%, $16.01 
8/27/2014,9/1/2014,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,10021,San Francisco,California,94109,West,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4, $91.00 ,20%, $7.38 
12/9/2016,12/13/2016,Standard Class,KB-16585,Ken Black,Corporate,United States,10022,Fremont,Nebraska,68025,Central,OFF-AR-10000246,Office Supplies,Art,Newell 318,19.46,7, $136.00 ,0%, $5.06 
12/9/2016,12/13/2016,Standard Class,KB-16585,Ken Black,Corporate,United States,10023,Fremont,Nebraska,68025,Central,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7, $422.00 ,0%, $15.69 
7/16/2017,7/18/2017,Second Class,SF-20065,Sandra Flanagan,Consumer,United States,10024,Philadelphia,Pennsylvania,19140,East,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,2, $143.00 ,30%, $(1.02)
9/25/2015,9/30/2015,Standard Class,EB-13870,Emily Burns,Consumer,United States,10025,Orem,Utah,84057,West,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3," $3,134.00 ",0%, $240.26 
1/16/2016,1/20/2016,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,10026,Los Angeles,California,90049,West,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,2, $23.00 ,20%, $4.22 
1/16/2016,1/20/2016,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,10027,Los Angeles,California,90049,West,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3, $272.00 ,0%, $11.77 
9/17/2015,9/21/2015,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,10028,Philadelphia,Pennsylvania,19140,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7," $21,584.00 ",50%," $(1,665.05)"
9/17/2015,9/21/2015,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,10029,Philadelphia,Pennsylvania,19140,East,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2, $19.00 ,70%, $(7.05)
9/17/2015,9/21/2015,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,10030,Philadelphia,Pennsylvania,19140,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3, $373.00 ,20%, $15.53 
9/17/2015,9/21/2015,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,10031,Philadelphia,Pennsylvania,19140,East,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264,2, $7.00 ,20%, $1.10 
9/17/2015,9/21/2015,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,10032,Philadelphia,Pennsylvania,19140,East,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6, $518.00 ,20%, $9.71 
9/17/2015,9/21/2015,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,10033,Philadelphia,Pennsylvania,19140,East,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,6, $41.00 ,70%, $(5.72)
9/17/2015,9/21/2015,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,10034,Philadelphia,Pennsylvania,19140,East,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,15.76,2, $32.00 ,20%, $3.55 
10/19/2017,10/23/2017,Second Class,MA-17560,Matt Abelman,Home Office,United States,10035,Houston,Texas,77095,Central,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,29.472,3, $88.00 ,20%, $9.95 
12/8/2016,12/10/2016,First Class,GH-14485,Gene Hale,Corporate,United States,10036,Richardson,Texas,75080,Central,TEC-PH-10004977,Technology,Phones,GE 30524EE4,1097.544,7," $7,683.00 ",20%, $123.47 
12/8/2016,12/10/2016,First Class,GH-14485,Gene Hale,Corporate,United States,10037,Richardson,Texas,75080,Central,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5, $955.00 ,60%, $(147.96)
12/27/2015,12/31/2015,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,10038,Houston,Texas,77041,Central,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9," $1,020.00 ",20%, $35.42 
12/27/2015,12/31/2015,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,10039,Houston,Texas,77041,Central,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3," $1,597.00 ",32%, $(46.98)
12/27/2015,12/31/2015,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,10040,Houston,Texas,77041,Central,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058,3, $636.00 ,30%, $(15.15)
12/27/2015,12/31/2015,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,10041,Houston,Texas,77041,Central,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,371.168,4," $1,485.00 ",20%, $41.76 
9/10/2017,9/15/2017,Standard Class,LC-16930,Linda Cazamias,Corporate,United States,10042,Naperville,Illinois,60540,Central,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,147.168,4, $589.00 ,20%, $16.56 
7/17/2016,7/22/2016,Standard Class,RA-19885,Ruben Ausman,Corporate,United States,10043,Los Angeles,California,90049,West,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2, $156.00 ,0%, $3.89 
9/19/2017,9/23/2017,Standard Class,ES-14080,Erin Smith,Corporate,United States,10044,Melbourne,Florida,32935,South,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2, $191.00 ,20%, $9.56 
3/11/2016,3/13/2016,First Class,ON-18715,Odella Nelson,Corporate,United States,10045,Eagan,Minnesota,55122,Central,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2, $92.00 ,0%, $19.77 
3/11/2016,3/13/2016,First Class,ON-18715,Odella Nelson,Corporate,United States,10046,Eagan,Minnesota,55122,Central,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2, $35.00 ,0%, $8.21 
10/20/2014,10/25/2014,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,10047,Westland,Michigan,48185,Central,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4, $848.00 ,0%, $8.48 
6/20/2016,6/25/2016,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,10048,Dover,Delaware,19901,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45,3, $135.00 ,0%, $4.95 
6/20/2016,6/25/2016,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,10049,Dover,Delaware,19901,East,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2, $44.00 ,0%, $6.10 
4/18/2015,4/22/2015,Standard Class,DP-13000,Darren Powers,Consumer,United States,10050,New Albany,Indiana,47150,Central,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6, $229.00 ,0%, $17.96 
4/18/2015,4/22/2015,Standard Class,DP-13000,Darren Powers,Consumer,United States,10051,New Albany,Indiana,47150,Central,OFF-LA-10002762,Office Supplies,Labels,Avery 485,75.18,6, $451.00 ,0%, $35.33 
4/18/2015,4/22/2015,Standard Class,DP-13000,Darren Powers,Consumer,United States,10052,New Albany,Indiana,47150,Central,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,2, $12.00 ,0%, $2.96 
4/18/2015,4/22/2015,Standard Class,DP-13000,Darren Powers,Consumer,United States,10053,New Albany,Indiana,47150,Central,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",89.99,1, $90.00 ,0%, $17.10 
12/11/2016,12/17/2016,Standard Class,JM-15265,Janet Molinari,Corporate,United States,10054,New York City,New York,10024,East,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,15.26,7, $107.00 ,0%, $6.26 
12/11/2016,12/17/2016,Standard Class,JM-15265,Janet Molinari,Corporate,United States,10055,New York City,New York,10024,East,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95,5," $5,150.00 ",0%, $298.69 
6/17/2016,6/18/2016,First Class,TB-21055,Ted Butterfield,Consumer,United States,10056,Troy,New York,12180,East,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,208.56,6," $1,251.00 ",0%, $52.14 
6/17/2016,6/18/2016,First Class,TB-21055,Ted Butterfield,Consumer,United States,10057,Troy,New York,12180,East,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,32.4,5, $162.00 ,0%, $15.55 
6/17/2016,6/18/2016,First Class,TB-21055,Ted Butterfield,Consumer,United States,10058,Troy,New York,12180,East,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,319.41,5," $1,597.00 ",10%, $7.10 
6/17/2016,6/18/2016,First Class,TB-21055,Ted Butterfield,Consumer,United States,10059,Troy,New York,12180,East,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56,2, $29.00 ,0%, $6.99 
6/17/2016,6/18/2016,First Class,TB-21055,Ted Butterfield,Consumer,United States,10060,Troy,New York,12180,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30,2, $60.00 ,0%, $3.30 
6/17/2016,6/18/2016,First Class,TB-21055,Ted Butterfield,Consumer,United States,10061,Troy,New York,12180,East,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,48.48,4, $194.00 ,20%, $16.36 
6/17/2016,6/18/2016,First Class,TB-21055,Ted Butterfield,Consumer,United States,10062,Troy,New York,12180,East,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,1, $2.00 ,0%, $0.84 
11/24/2015,11/30/2015,Standard Class,KM-16720,Kunst Miller,Consumer,United States,10063,Los Angeles,California,90004,West,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2, $28.00 ,0%, $6.15 
11/24/2015,11/30/2015,Standard Class,KM-16720,Kunst Miller,Consumer,United States,10064,Los Angeles,California,90004,West,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,6, $155.00 ,20%, $9.36 
11/24/2015,11/30/2015,Standard Class,KM-16720,Kunst Miller,Consumer,United States,10065,Los Angeles,California,90004,West,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,146.73,3, $440.00 ,0%, $68.96 
11/24/2015,11/30/2015,Standard Class,KM-16720,Kunst Miller,Consumer,United States,10066,Los Angeles,California,90004,West,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76,4, $319.00 ,0%, $22.33 
4/30/2015,5/5/2015,Standard Class,PS-18970,Paul Stevenson,Home Office,United States,10067,Chicago,Illinois,60610,Central,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.115,5," $1,066.00 ",30%, $(15.22)
12/5/2014,12/10/2014,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,10068,Gilbert,Arizona,85234,West,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,8," $8,904.00 ",20%, $111.30 
12/5/2014,12/10/2014,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,10069,Gilbert,Arizona,85234,West,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,167.968,4, $672.00 ,20%, $62.99 
6/4/2016,6/6/2016,First Class,KD-16270,Karen Daniels,Consumer,United States,10070,Springfield,Virginia,22153,South,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2, $152.00 ,0%, $35.66 
9/18/2016,9/23/2016,Standard Class,HM-14980,Henry MacAllister,Consumer,United States,10071,New York City,New York,10009,East,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,1, $5.00 ,20%, $1.73 
9/14/2017,9/17/2017,Second Class,TB-21520,Tracy Blumstein,Consumer,United States,10072,Jackson,Michigan,49201,Central,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,3, $57.00 ,0%, $8.76 
4/26/2015,5/2/2015,Standard Class,JE-15745,Joel Eaton,Consumer,United States,10073,Memphis,Tennessee,38109,South,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,831.936,8," $6,655.00 ",20%, $(114.39)
4/26/2015,5/2/2015,Standard Class,JE-15745,Joel Eaton,Consumer,United States,10074,Memphis,Tennessee,38109,South,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,2, $194.00 ,20%, $1.21 
4/26/2015,5/2/2015,Standard Class,JE-15745,Joel Eaton,Consumer,United States,10075,Memphis,Tennessee,38109,South,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,72.784,1, $73.00 ,20%, $(18.20)
12/9/2017,12/11/2017,First Class,KB-16600,Ken Brennan,Corporate,United States,10076,Houston,Texas,77041,Central,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,1.248,3, $4.00 ,80%, $(1.93)
12/9/2017,12/11/2017,First Class,KB-16600,Ken Brennan,Corporate,United States,10077,Houston,Texas,77041,Central,FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",9.708,3, $29.00 ,60%, $(5.82)
12/9/2017,12/11/2017,First Class,KB-16600,Ken Brennan,Corporate,United States,10078,Houston,Texas,77041,Central,OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,3, $82.00 ,20%, $2.72 
11/26/2014,12/1/2014,Second Class,JE-15745,Joel Eaton,Consumer,United States,10079,Houston,Texas,77070,Central,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,5, $97.00 ,60%, $(14.48)
6/12/2016,6/15/2016,First Class,SC-20770,Stewart Carmichael,Corporate,United States,10080,Decatur,Alabama,35601,South,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,1, $208.00 ,0%, $56.20 
6/12/2016,6/15/2016,First Class,SC-20770,Stewart Carmichael,Corporate,United States,10081,Decatur,Alabama,35601,South,OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74,3, $50.00 ,0%, $8.04 
10/12/2014,10/16/2014,Standard Class,DN-13690,Duane Noonan,Consumer,United States,10082,San Francisco,California,94122,West,OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,5, $75.00 ,0%, $4.17 
10/12/2014,10/16/2014,Standard Class,DN-13690,Duane Noonan,Consumer,United States,10083,San Francisco,California,94122,West,OFF-ST-10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,1, $21.00 ,0%, $6.20 
9/3/2015,9/8/2015,Standard Class,JC-16105,Julie Creighton,Corporate,United States,10084,Durham,North Carolina,27707,South,OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984,7," $1,407.00 ",20%, $62.81 
11/13/2017,11/16/2017,First Class,CS-12400,Christopher Schild,Home Office,United States,10085,Chicago,Illinois,60623,Central,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,230.376,3, $691.00 ,20%, $(48.95)
5/28/2017,5/30/2017,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,10086,Columbia,South Carolina,29203,South,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,301.96,2, $604.00 ,0%, $33.22 
10/26/2017,11/2/2017,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,10087,Rochester,Minnesota,55901,Central,TEC-AC-10001998,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,1, $20.00 ,0%, $6.80 
10/26/2017,11/2/2017,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,10088,Rochester,Minnesota,55901,Central,OFF-LA-10000134,Office Supplies,Labels,Avery 511,6.16,2, $12.00 ,0%, $2.96 
4/5/2016,4/10/2016,Second Class,GM-14455,Gary Mitchum,Home Office,United States,10089,Houston,Texas,77095,Central,OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,158.368,7," $1,109.00 ",20%, $13.86 
9/17/2016,9/22/2016,Standard Class,JS-15685,Jim Sink,Corporate,United States,10090,Los Angeles,California,90036,West,OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,20.1,3, $60.00 ,0%, $6.63 
9/17/2016,9/22/2016,Standard Class,JS-15685,Jim Sink,Corporate,United States,10091,Los Angeles,California,90036,West,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,73.584,2, $147.00 ,20%, $8.28 
9/17/2016,9/22/2016,Standard Class,JS-15685,Jim Sink,Corporate,United States,10092,Los Angeles,California,90036,West,OFF-PA-10000304,Office Supplies,Paper,Xerox 1995,6.48,1, $6.00 ,0%, $3.11 
1/31/2015,2/5/2015,Second Class,KB-16315,Karl Braun,Consumer,United States,10093,Minneapolis,Minnesota,55407,Central,OFF-PA-10003177,Office Supplies,Paper,Xerox 1999,12.96,2, $26.00 ,0%, $6.22 
1/31/2015,2/5/2015,Second Class,KB-16315,Karl Braun,Consumer,United States,10094,Minneapolis,Minnesota,55407,Central,FUR-FU-10003799,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",53.34,3, $160.00 ,0%, $16.54 
1/31/2015,2/5/2015,Second Class,KB-16315,Karl Braun,Consumer,United States,10095,Minneapolis,Minnesota,55407,Central,OFF-BI-10002852,Office Supplies,Binders,Ibico Standard Transparent Covers,32.96,2, $66.00 ,0%, $16.15 
11/6/2017,11/12/2017,Standard Class,RB-19705,Roger Barcio,Home Office,United States,10096,Portland,Oregon,97206,West,OFF-BI-10004738,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.682,1, $6.00 ,70%, $(3.79)
11/9/2017,11/11/2017,Second Class,PN-18775,Parhena Norris,Home Office,United States,10097,New York City,New York,10009,East,FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,96.53,7, $676.00 ,0%, $40.54 
6/17/2017,6/20/2017,First Class,KD-16345,Katherine Ducich,Consumer,United States,10098,San Francisco,California,94122,West,OFF-BI-10001721,Office Supplies,Binders,Trimflex Flexible Post Binders,51.312,3, $154.00 ,20%, $17.96 
9/6/2016,9/11/2016,Standard Class,ER-13855,Elpida Rittenbach,Corporate,United States,10099,Saint Paul,Minnesota,55106,Central,OFF-AP-10000358,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,77.88,6, $467.00 ,0%, $22.59 
8/29/2016,9/2/2016,Standard Class,RB-19465,Rick Bensley,Home Office,United States,10100,Chicago,Illinois,60610,Central,OFF-PA-10003256,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,64.624,7, $452.00 ,20%, $22.62 
8/29/2016,9/2/2016,Standard Class,RB-19465,Rick Bensley,Home Office,United States,10101,Chicago,Illinois,60610,Central,TEC-AC-10001767,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.976,3, $288.00 ,20%, $(10.80)
8/29/2016,9/2/2016,Standard Class,RB-19465,Rick Bensley,Home Office,United States,10102,Chicago,Illinois,60610,Central,OFF-BI-10002609,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,1.788,3, $5.00 ,80%, $(3.04)
12/1/2016,12/4/2016,Second Class,GZ-14470,Gary Zandusky,Consumer,United States,10103,Rochester,Minnesota,55901,Central,OFF-PA-10004040,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),23.92,4, $96.00 ,0%, $11.72 
11/13/2015,11/17/2015,Standard Class,LC-16870,Lena Cacioppo,Consumer,United States,10104,Aurora,Colorado,80013,West,TEC-AC-10001552,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,238.896,6," $1,433.00 ",20%, $(26.88)
11/13/2015,11/17/2015,Standard Class,LC-16870,Lena Cacioppo,Consumer,United States,10105,Aurora,Colorado,80013,West,FUR-FU-10004006,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36,3, $307.00 ,20%, $(3.84)
11/13/2015,11/17/2015,Standard Class,LC-16870,Lena Cacioppo,Consumer,United States,10106,Aurora,Colorado,80013,West,OFF-BI-10002794,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",36.882,3, $111.00 ,70%, $(25.82)
11/23/2017,11/28/2017,Standard Class,JM-15250,Janet Martin,Consumer,United States,10107,Charlotte,North Carolina,28205,South,TEC-AC-10003499,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,74.112,8, $593.00 ,20%, $17.60 
